Statement,label
"My cousin came for a meal at my home. After having meal we were having some talks, he was touching my body unnecessarily and it was like inviting for sex.","[0,0,1]"
it was really bad.,"[1,0,0]"
near grm school,"[1,0,0]"
3 men were commenting on me and my friend.,"[0,0,0]"
Was a maintain of a houses were  the person abuse us by exposing by taking of his cloths . He  hit on the door with a hammer and replaces the door with new one  and was drunken. when we got anger about the happening  he ask  me to go to hospital for treatment and I am a ill person and I need to take treatment.,"[0,0,0]"
Misbehavior of some boys to a girl passing some vulgar comments on her.,"[1,0,0]"
harassment in the evening,"[1,0,0]"
"i was getting back from school in the afternoon. few boys had ganged up and were commenting on me. i confronted them and got into an abusive argument with them, during this, i slapped one of the boys. they were stunned and apologized for their behavior.","[0,0,0]"
Groped at Shahpurjat,"[0,0,1]"
A guy came and snatched my aunty's chain during afternoon hours . We didn't report to the police .,"[0,0,0]"
its a ladies hostels area..many guys stands there and comments..and some shows internal parts while crossing from the area..plz some1 help to make that area free from the idiots ..some will touch while walking from the bike..so pathetic..,"[0,0,1]"
when i was visiting temple some boys turn by turn pushed and ran away.,"[0,0,1]"
Touching in sensible areas of my body.,"[0,1,1]"
One aunty was in a rickshaw. Her chain was snatched by 2 guys on a bike. We tried chasing them in our car but we were unable to.,"[0,0,0]"
Harassed in the afternoon,"[0,1,0]"
commenting and following,"[1,0,0]"
"Man standing between a schoolbus and a building wall on North Avenue in Santacruz (West) masturbating and exposing himself. It was pretty dark between wall and bus, and there are enough bushes to hide him from the watchmen who were just about 1012 feet away. Initially it was unclear what he was up to owing to how dark it was. But when it did become more evident and I was about to call out to the watchmen he ran away. It's disturbing because there are kids living in the building and around it. This is also right on to a busy arterial lane between linking and sv road. The complete lack of fear of discovery on such a busy location is also disquieting. Just goes to show how even a seemingly highly unlikely and tiny secluded spot can become an opportunity.","[0,0,0]"
I was returning from my maternal uncle's house. I was all alone. Three boys were walking towards me. they were laughing at us and even commented me.,"[1,1,0]"
Some guys misbehaved  with me,"[1,1,0]"
"A friend of mine had sexually harassed in the bus,though the seat of other bus was vacant that old guy sat near by her and keep on touching her intentionally then she didn't want to create a scene and get off from the bus though it wasn't her stop.","[1,1,1]"
Inappropriate comments,"[1,0,0]"
One guy standing on the streets threw some water through the window. I went to see what happened and saw him masturbating in front of us.,"[0,0,0]"
A friend's chain was snatched while she was on the street.,"[1,0,0]"
I faced verbal violence at the virar station two days back,"[1,0,0]"
This survey is carried out by safecity (Red dot foundation) along with its safety audit at street markets in Mumbai.,"[1,1,1]"
Tried to touch my breasts.,"[0,0,1]"
My computer teacher often touch my private parts,"[0,0,1]"
Thiefs came to a cite to steal at night in a particular room.So this lady heard noise in her neighbours room and started shouting.They thieves came to her room and kidnapped her.They brought her the next morning after she had been raped.,"[0,0,0]"
"Whenever me or my friends pass by if boys are sitting around they start commenting, singing songs etc.","[1,0,0]"
I was walking with my cousin on the road and many men were just staring. I was small but my sister was around 20 and she just ignored it and walked along acting like it never happened.,"[0,1,0]"
When I was travelling in the bus with my aunt. Two unknown person touched us unnecessarily. They knew that we were feeling uncomfortable but still they didn't give up doing this.,"[0,0,1]"
"It happened during late evening , that I was travelling and I was subjected to various catcalls , whistles and comments . It happened in metro and the dingy quotgallisquot of our city .","[1,1,0]"
I was walking with my cousin on the road and many men were just staring. I was small but my sister was around 20 and she just ignored it and walked along acting like it never happened.,"[0,1,0]"
A guy passed bad comments as i was on my way home,"[1,0,0]"
"Age 16 yearsType of harassmentStalking at Leh market when I was returning home from school (evening)Catcalls chocho lay (hey doll) (day time)Commenting moti (fat), balu (small) (day timeevening)Touching when I was at my brothers wedding (night)","[1,0,1]"
"CBD Belapur taxi stand, outside the railway station. Goons are wandering in the night.","[0,0,0]"
A friend of mine (female) got harassed whilst she was jogging early in the morning.,"[1,1,0]"
my friend was followed and wistles at evening by some boys,"[0,0,0]"
"Harassed in the street.One day I and my friends went out for a stroll in Mutengene.As excited as we were, we greeted a friend from shool who was fund of fighting .This friend told his gang that we were laoded with money and they attacked us in the streets with knives.This happened in the night .These guys collected all the money we had with us and went away with it.","[0,1,0]"
"When I was going to school I took a micro bus where I found was trying to snap picture of me, I was so uncomfortable that I covered my face with mask","[0,0,0]"
This incident took place near batra cinemas in the evening.I was going through the area and some boys on bike were passing rubbish comments on a girl wearing skirt.,"[1,0,0]"
People in the metro just try to push you and touch you.It happens in the afternoon and evening.,"[0,0,1]"
Commenting at some one happens everyday in our college.,"[1,1,0]"
teacher beating the student on the head,"[0,0,0]"
one day I saw some men taking photos of a woman who was my neighbour,"[0,0,0]"
http//news.outlookindia.com/items.aspx?artid785656,"[0,0,0]"
my friend was walking in the lane and a man called names and teased her.,"[1,0,0]"
2 school boys pulled my hair outside my school and said they will do dirty things to me,"[1,0,1]"
I was followed on the metro,"[0,0,0]"
A girl of 14 was raped on school campus.She attended a school party at night against her parent's wish and on arival she was attcked by four guys who asked her money and forcefully raped her.,"[1,0,0]"
it was when i was returning home from school some boys on the street stare at me and started to commenting and whistling they also make wired facial expression which was scary,"[1,1,0]"
"During evening while travelling in metro , there was disgusting touching and the person won't even back off after I soured at him .","[0,0,1]"
"no lights, feels unsafe","[0,0,0]"
"Eve teasing, staring","[1,1,0]"
Boys were commenting and shouting at me.,"[1,0,0]"
"Auto drivers and even other pedestrians stand occupying the whole skywalk with the intention of groping girls or women that try to pass them Strict action must be taken to control these imbecile and insolent freaks who think they can behave as they please with women, forgetting that it was a woman who gave birth to them.","[1,0,1]"
it was on Saturday when I was going to the shop and I heard someone whistling at me when I turned to see who it was I saw another boy coming towards me and I pretended not to have seen him and walked away,"[0,0,0]"
"I've been teased in this area by some goons at night, whistling and shouting names at me.","[1,0,0]"
A guy was trying to follow us silently and started passing comments later on along the way . It happened during the night hours .,"[1,0,0]"
ogling and weird facial expressions by a man in the car stopping by while i was walking on the road,"[0,1,0]"
teacher beating student to give him the sister phone number and touches their bodies so that they are not caned and had sexual relation ship with a minor,"[0,0,0]"
i was standing alone all of the sudden a guy on the bike started commenting i ignored he started roaming and commenting,"[1,0,0]"
"once while travellingin bus ,as i was on the bus to visit my relatives .one person frm the bus try to talk with me n try to come close to me n try to touch me so i shouted at him n told him to got off from that bus.","[0,0,1]"
a guy was looking at me and singing obscene songs and making indecent gestures,"[0,0,0]"
A man followed to me and whistled and said bad word to me.,"[1,0,0]"
A biker stopped in front of my friend and asked her to accompany him,"[0,0,0]"
I have never been harassed before but I have experienced several harassment cases with someone I know.A friend of mine was harassed on the street by some rough guys.This harasser slapped my friend for no good reason .I was very angry but I did not want to take violence into my own hands.,"[0,0,0]"
around 6 pm evening i was returning home .i saw one man beating one girl and snatching her neck chain,"[1,0,1]"
Some people started commenting bad words on me and my friend.,"[0,1,0]"
"two years ago, when i was returning home town from village a boy followed me up to my house he was forcing me to give  my number to him. for more than a week he keep on following me to my house.","[0,0,0]"
"a guy threw hot water at me saying I was wearing short clothes, I was so so scared and could not believe what just happened","[1,0,0]"
a girl has been sexually assaulted from many days,"[0,0,0]"
A girl of age 16 was raped and her sexual organs cut off.This happened when the parents sent her to a close by shop to get some goods and along the way the terrible incident occurred,"[0,0,0]"
While coming back from tuition (DG2 Vikaspuri) some guys were exposing their private part just to harass girls.,"[1,0,0]"
Age 16 yearsType of harassmentFacial expressions at my neighbours house (evening)Stalking at Leh market (day time)Catcalls at Leh market and my village (day timeevening),"[0,1,0]"
when i went to shop to get some goods some boys teases me and commented  they even took my pictures on me i was scared and i ran to my home and share it with my parents,"[1,0,0]"
on my way from school  I mate some boys who forced me to stop and talk to them.,"[0,0,0]"
When i was going to college one boy passed comment on us.,"[1,0,0]"
I was going to the market when a car stopped next to me and commented on my clothes and asked me to join them,"[1,0,0]"
physical abuse at bus by educated person during evening time.,"[1,0,1]"
a guy purposely groped when the metro stopped,"[0,0,1]"
chain snatching,"[0,0,0]"
"The person tried to touch my private parts while standing in rush in a DTC bus.As soon as I could respond,he got out of the bus.It happened during afternoon/evening.","[0,0,1]"
"This incident took place in the afternoon at Public park,Dilshad Garden.Sitting on the bench next to me he started unzipping his pants and i just ran off from that place.","[0,0,0]"
"Yes i have been sexually harrased many times in my life,like a random guy trying to touch my sensative parts,and any group of guys whistle at me and did diffrent facial expressions.","[0,1,0]"
It was on Saturday morning when a lady wrongly accused me of going out or dating her husband due to the fact that the man used to carry me in his car when I am going to school.However the man's intention is to date me but I refused.,"[0,1,0]"
"I was walking along a road, asked if I needed a lift, was followed by another car on the same night, who crawled until the lack of response I gave made them give up.","[1,0,0]"
I saw a gang of boys teasing a group of school girls. Although they weren't alone but still they were afraid of it.,"[1,0,0]"
I was going with my group of friends two boys on bike came and banged on my friend's bum.,"[0,0,1]"
I had just gotten off from the bus at kibera D.O and a tout was telling me i am his size and telling me i have a bedroom size,"[1,0,0]"
I was returning from Airport at 830pm.Just then from Boudha i was followed by some boys in bike.I was followed upto my school and i ran as fast as i could.,"[1,0,0]"
"This incident took place in the afternoon in Metro,blue line.Guys in the compartment next to women's compartment were staring and commenting.","[1,1,0]"
"Catcalls Commenting and bad facial expressions, taking pictures, indecent exposure, sexual invites","[1,1,1]"
touched by a boy,"[1,0,0]"
ladko ka grop khade rahete hai aur activa se jane wali ladkiyu ka picha karte hai 10 baje raat me us rasse se humko sef nahi hota hai,"[1,0,1]"
guys making indecent facial expressins,"[0,1,0]"
followed to the office,"[0,0,0]"
Chain snatching at night.,"[0,0,0]"
"a man kept staring at me at the bus station, I took an auto and left from there","[0,1,0]"
in the evening making whistles on the road also follow me,"[0,0,0]"
A gang of goon looted me outside the Raniganj station,"[0,0,0]"
physical abuse by a conductor of a bus i was travelling.,"[0,1,1]"
"The area where i stay, is just pathetic. There are always this boys of group standing on the road side, playing cards and passing comments on each passer by. I try to ignore their comments, but again at the same time i feel why should i ignore. I don't like that girls like me are easy targets to the road side romeos. When i talk to my parents about this they too ask me too ignore the same. But somehow, i don't like to ignore. I want to take strict action against this boys as they really pass dirty comments on the girls. Therefore our parents do not allow us to move out of the house after 7 pm.","[1,1,0]"
"I was behind the richshaw with my boyfriend and the driver was kind and fun and then he wanted me to try his rickshaw I didn't wanted but he insisted and I wanted to be nice by accepting.I sat close to him and he just grab the moment to touch my pectorals in a manner that quothe may thought I was going to accept because he was teaching mequot I had my kurta nothing was revealing, This  is terrible!!","[0,0,1]"
when i was going to home from school i saw some girls were teased by the boys and the girls were feeling so uncomfortable,"[1,1,0]"
when at the shop she met an old man and they started talking and the man promised to buy her things and even tried to touch her but she ran,"[0,0,0]"
Harassment at Rajiv chowk metro station,"[1,1,1]"
Groping whistles commenting masturbating in public at peddar road bus stop.,"[0,0,1]"
groups of men stand around the tea stall on the main road of blocke and keep staring and commenting on clothes of women. they take pictures also sometimes.,"[1,0,0]"
"A middle aged man stalked, made indecent expressions and gestures at Chhatarpur metro station at 3 pm on a working day. I was dressed formal office attire.(indian)Did not report as he kept putting his hand in his inside coat pocket and talking on the phone.","[0,1,0]"
"At Nerul station, when my daughter and I were climbing the FOB, this pervert came down the stairs exposing himself, targeting my daughter","[0,0,0]"
It was one fateful afternoon when I was heading to the road for an errand when I noticed a man looking at me in a manner which made me uncomfortable .Then that evening I passed again when he called for me and told me the usual thing about me being his girlfriend.I was shocked considering his age and i refused but it became very constant that that i was afraid to pass where he would see me,"[0,0,0]"
murder,"[0,0,0]"
"The areas marked are near slum areas. These guys dont drink in their homes, but set up camp on bikes parked on the street and drink right there. The cops come there, socialise with them and leave  while these guys talk loudly and laugh and stare at all women who pass by.","[0,1,0]"
one day ....a girl in bus n there was a group of boys they try to comment on girl n sing a song.,"[1,0,0]"
Commenting in the afternoon,"[1,0,0]"
i had come to my school (gyan kendra)to submit some project and around noon i left. i started walking back to my house and this guy was constantly staring at me till i reached my place. i entered a wrong building and stood there for 5 mins so he would go and i can go back to my real destination,"[0,0,0]"
"One day on my way to visit a friend and I came across a boy,as quiet as I was I simply greeted him and continued my journey .While I was walking he called for me but i told him I was rushing to see someone.Suddenly ,he ran after me and held me on my waist trying to kiss me.I struggled and gave him a kick then i finally ran away.","[0,0,0]"
I was waiting for a bus and a guy came and stood beside me.I walked so that I could get an auto but this guy followed me making lewd gesture.I was so panic stricken that I wasn't able to make up my mind whether to call for help or take out my pepper spray.Fortunately the auto arrived at that moment and I was saved.It happened in the night.,"[0,0,0]"
The station lights are very poor and it also lacks proper signs leading to emergency exits.,"[0,0,0]"
at night near railway station a group of boys were commenting and trying to touch me.,"[1,0,1]"
I was walking by and a man came from behind and groped me for some seconds.He then went by me after giving me a long and dirty stare.,"[0,0,1]"
chain snatching,"[0,0,0]"
"I was going to my aunt house alone by bus. The came a man and started talking to me, I ignored at first but he talked to me rudely. I complained to one aunt in the bus about it and she scolded him.","[1,0,0]"
"i was standing at the bus stop, two boys came and started teasing me,,, they do put racist remark on me..","[1,1,0]"
Misbehaviour by some people,"[1,1,0]"
Two people came in a bike from the back side of a woman who was wearing two gold chain which was been snatched by the boy sitting behind the bike and ran away as quick as possible.,"[0,0,0]"
I was going to buy  kerosene and a man stopped me covered my mouth and tried to touch breasts,"[0,0,1]"
my husband does not take care of the family by providing the basic needs and since I do not work I depend on him.,"[0,0,0]"
Making facial expressions amp staring continuously in an awkward way. Also face physical harassment.,"[1,1,1]"
"A friend of mine was sexually harassed and she explained everything to me as a good friend. She went to a guy's house and the guy was in his sexual mode and forced the girl to bed,when she refused the guy got her well beaten and because of this she has vowed never to visit a boy in his house.","[0,0,0]"
Inappropriate lighting and road blocked with multiple riskshawwalah loitering around,"[0,0,0]"
"THESE CASES ARE VERY COMMON IN THAT AREA, THOUGH HAVE NEVER FACED ANY, BUT HEARD A LOT ABOUT.","[1,0,1]"
"On my way from school and I saw some ladies passing by and a group of boys told them that, quotyou ladies come here or else will make all of you pregnant.","[1,0,0]"
"an auto driver followed me and kept making indecent remarks, since many people were not around, I was not sure how to react and I quickly went into the bylanes so that he wouldn't follow me further","[1,0,0]"
I visited this place to see for relatives in night and it was so unsafe there.,"[0,0,0]"
when i was travelling in a public vehicle with my friends we were starred by a passenger next to us.after sometime he start commenting on us and we start feeling  uncomfortable. he make the environment inside the vehicle tensed so we took off from the vehicle,"[1,0,0]"
a guy was at a girl and was commenting,"[1,0,1]"
masturbating in park,"[0,0,0]"
It happened at rajiv chowk metro station.I was waiting for the metro and a guy started behaving in an illmannered way.,"[1,0,1]"
"while going out work or on my way to college people used to pass comments like chinese, chinkis,etc","[1,0,0]"
"It all happened in my school right inside my class in a lecture room at about 9pm when I was reading .i was all alone in the hall when a tall man ,dark skin guy entered .He came towards me and demanded for some directions .In the process he touched my breast and before i knew it he pressed me on the ground,romancing(carasssing) my hips.","[0,0,0]"
"Chain Snatching, taking pictures, touching/groping Satya Niketa","[0,0,1]"
teacher beating pupils,"[0,0,0]"
Sexual invites,"[0,0,0]"
A child was raped by his uncle and ran away.  She was 13 years and became pregnant,"[0,0,0]"
i was messaged with rough words in facebook,"[0,0,0]"
I was groped in the train,"[0,0,1]"
I just came back from my school and reached home when I was going upstairs somebody aged 1823 asked me whether there is a company delivering posts in the building I said no and I started climbing again he said that my innerware was shown and he acted acted as if he was adjusting it and groped me I screamt he ran away from then on I lost some of my bravery and confidence lets fight on this teach your boy child manners let's stop india from this,"[0,0,1]"
"I was walking down a street in broad daylight when a man on a bike stopped riding and as I came close, sang a perverted song quotZara zara touch mequot","[1,0,0]"
It was a harrowing experience.,"[1,1,0]"
"during the dusshera fest, i was tried to be felt.","[0,0,1]"
I was going to my friend's house. There was some boys playing foot ball. The ball came near to me. There came a boy near to get a ball. He tried to hug me and I shouted at me.,"[0,0,1]"
One day while I was travelling in a bus a girl was sitting near me and behind her 23 boys were standing and passing cheap comments. The girl knowingly ignored them just because she needed to travel daily.,"[1,0,0]"
teacher beats pupils,"[0,0,0]"
called us by some local names like chinky,"[1,0,0]"
"When i was in school,one of my seniors abused me very badly just because i told him to get lost from the class because he was doing very bad things to girls.","[0,0,0]"
